$/MWh,datetime
43.13,2023-01-13 19:30:00
51.03,2023-01-13 20:00:00
71.37,2023-01-13 20:30:00
91.02,2023-01-13 21:00:00
126.44,2023-01-13 21:30:00
63.44,2023-01-13 22:00:00
46.32,2023-01-13 22:30:00
68.8,2023-01-13 23:00:00
60.13,2023-01-13 23:30:00
108.58,2023-01-14 00:00:00
74.96,2023-01-14 00:30:00
67.68,2023-01-14 01:00:00
71.46,2023-01-14 01:30:00
77.88,2023-01-14 02:00:00
75.14,2023-01-14 02:30:00
66.19,2023-01-14 03:00:00
65.95,2023-01-14 03:30:00
35.55,2023-01-14 04:00:00
41.26,2023-01-14 04:30:00
46.29,2023-01-14 05:00:00
46.8,2023-01-14 05:30:00
38.53,2023-01-14 06:00:00
35.6,2023-01-14 06:30:00
33.74,2023-01-14 07:00:00
45.69,2023-01-14 07:30:00
55.75,2023-01-14 08:00:00
65.31,2023-01-14 08:30:00
57.54,2023-01-14 09:00:00
67.01,2023-01-14 09:30:00
68.03,2023-01-14 10:00:00
61.56,2023-01-14 10:30:00
63.44,2023-01-14 11:00:00
71.42,2023-01-14 11:30:00
66.21,2023-01-14 12:00:00
69.74,2023-01-14 12:30:00
64.93,2023-01-14 13:00:00
70.0,2023-01-14 13:30:00
70.05,2023-01-14 14:00:00
69.66,2023-01-14 14:30:00
71.93,2023-01-14 15:00:00
71.32,2023-01-14 15:30:00
71.33,2023-01-14 16:00:00
74.07,2023-01-14 16:30:00
73.05,2023-01-14 17:00:00
76.88,2023-01-14 17:30:00
81.54,2023-01-14 18:00:00
78.66,2023-01-14 18:30:00
72.89,2023-01-14 19:00:00
51.0,2023-01-14 19:30:00
67.31,2023-01-14 20:00:00
71.47,2023-01-14 20:30:00
108.56,2023-01-14 21:00:00
115.94,2023-01-14 21:30:00
94.62,2023-01-14 22:00:00
74.62,2023-01-14 22:30:00
85.24,2023-01-14 23:00:00
65.42,2023-01-14 23:30:00
54.98,2023-01-15 00:00:00
78.69,2023-01-15 00:30:00
87.3,2023-01-15 01:00:00
81.14,2023-01-15 01:30:00
79.74,2023-01-15 02:00:00
79.88,2023-01-15 02:30:00
78.49,2023-01-15 03:00:00
77.6,2023-01-15 03:30:00
49.21,2023-01-15 04:00:00
41.45,2023-01-15 04:30:00
48.16,2023-01-15 05:00:00
68.06,2023-01-15 05:30:00
47.5,2023-01-15 06:00:00
53.54,2023-01-15 06:30:00
52.61,2023-01-15 07:00:00
45.77,2023-01-15 07:30:00
85.3,2023-01-15 08:00:00
90.91,2023-01-15 08:30:00
91.1,2023-01-15 09:00:00
93.66,2023-01-15 09:30:00
103.94,2023-01-15 10:00:00
95.59,2023-01-15 10:30:00
101.8,2023-01-15 11:00:00
93.78,2023-01-15 11:30:00
94.22,2023-01-15 12:00:00
93.96,2023-01-15 12:30:00
101.25,2023-01-15 13:00:00
89.47,2023-01-15 13:30:00
96.33,2023-01-15 14:00:00
85.87,2023-01-15 14:30:00
94.44,2023-01-15 15:00:00
97.6,2023-01-15 15:30:00
115.13,2023-01-15 16:00:00
141.22,2023-01-15 16:30:00
146.47,2023-01-15 17:00:00
163.76,2023-01-15 17:30:00
163.14,2023-01-15 18:00:00
164.43,2023-01-15 18:30:00
141.08,2023-01-15 19:00:00
143.8,2023-01-15 19:30:00
125.64,2023-01-15 20:00:00
146.33,2023-01-15 20:30:00
149.95,2023-01-15 21:00:00
127.67,2023-01-15 21:30:00
172.04,2023-01-15 22:00:00
134.07,2023-01-15 22:30:00
159.74,2023-01-15 23:00:00
146.44,2023-01-15 23:30:00
68.71,2023-01-16 00:00:00
121.25,2023-01-16 00:30:00
121.53,2023-01-16 01:00:00
127.44,2023-01-16 01:30:00
124.1,2023-01-16 02:00:00
115.06,2023-01-16 02:30:00
90.11,2023-01-16 03:00:00
87.17,2023-01-16 03:30:00
84.68,2023-01-16 04:00:00
92.25,2023-01-16 04:30:00
138.41,2023-01-16 05:00:00
137.44,2023-01-16 05:30:00
139.97,2023-01-16 06:00:00
127.38,2023-01-16 06:30:00
130.08,2023-01-16 07:00:00
129.32,2023-01-16 07:30:00
153.5,2023-01-16 08:00:00
150.31,2023-01-16 08:30:00
118.49,2023-01-16 09:00:00
117.69,2023-01-16 09:30:00
99.73,2023-01-16 10:00:00
104.68,2023-01-16 10:30:00
105.44,2023-01-16 11:00:00
134.61,2023-01-16 11:30:00
145.12,2023-01-16 12:00:00
151.49,2023-01-16 12:30:00
172.54,2023-01-16 13:00:00
157.15,2023-01-16 13:30:00
164.11,2023-01-16 14:00:00
157.69,2023-01-16 14:30:00
160.03,2023-01-16 15:00:00
177.0,2023-01-16 15:30:00
174.73,2023-01-16 16:00:00
163.7,2023-01-16 16:30:00
175.14,2023-01-16 17:00:00
190.92,2023-01-16 17:30:00
195.69,2023-01-16 18:00:00
209.09,2023-01-16 18:30:00
210.6,2023-01-16 19:00:00
207.85,2023-01-16 19:30:00
194.94,2023-01-16 20:00:00
194.41,2023-01-16 20:30:00
204.19,2023-01-16 21:00:00
198.56,2023-01-16 21:30:00
197.28,2023-01-16 22:00:00
160.78,2023-01-16 22:30:00
170.58,2023-01-16 23:00:00
176.93,2023-01-16 23:30:00
156.86,2023-01-17 00:00:00
137.87,2023-01-17 00:30:00
135.49,2023-01-17 01:00:00
127.15,2023-01-17 01:30:00
150.26,2023-01-17 02:00:00
128.3,2023-01-17 02:30:00
129.81,2023-01-17 03:00:00
134.1,2023-01-17 03:30:00
108.71,2023-01-17 04:00:00
110.88,2023-01-17 04:30:00
128.12,2023-01-17 05:00:00
168.15,2023-01-17 05:30:00
178.36,2023-01-17 06:00:00
166.86,2023-01-17 06:30:00
187.92,2023-01-17 07:00:00
197.54,2023-01-17 07:30:00
180.18,2023-01-17 08:00:00
190.53,2023-01-17 08:30:00
195.15,2023-01-17 09:00:00
160.58,2023-01-17 09:30:00
159.48,2023-01-17 10:00:00
159.04,2023-01-17 10:30:00
160.57,2023-01-17 11:00:00
166.92,2023-01-17 11:30:00
171.32,2023-01-17 12:00:00
191.32,2023-01-17 12:30:00
218.53,2023-01-17 13:00:00
193.45,2023-01-17 13:30:00
218.87,2023-01-17 14:00:00
187.21,2023-01-17 14:30:00
218.39,2023-01-17 15:00:00
211.04,2023-01-17 15:30:00
204.73,2023-01-17 16:00:00
188.87,2023-01-17 16:30:00
176.62,2023-01-17 17:00:00
200.68,2023-01-17 17:30:00
206.39,2023-01-17 18:00:00
188.4,2023-01-17 18:30:00
169.93,2023-01-17 19:00:00
162.11,2023-01-17 19:30:00
141.61,2023-01-17 20:00:00
118.76,2023-01-17 20:30:00
173.98,2023-01-17 21:00:00
146.89,2023-01-17 21:30:00
156.4,2023-01-17 22:00:00
144.6,2023-01-17 22:30:00
178.87,2023-01-17 23:00:00
136.9,2023-01-17 23:30:00
160.32,2023-01-18 00:00:00
159.11,2023-01-18 00:30:00
156.1,2023-01-18 01:00:00
149.37,2023-01-18 01:30:00
157.98,2023-01-18 02:00:00
